CaseNumber,Sample,D3S1358,D3S1358,D1S1656,D1S1656,D2S441,D2S441,D10S1248,D10S1248,D13S317,D13S317,Penta_E,Penta_E,D16S539,D16S539,D18S51,D18S51,D2S1338,D2S1338,CSF1PO,CSF1PO,Penta_D,Penta_D,TH01,TH01,vWA,vWA,D21S11,D21S11,D7S820,D7S820,D5S818,D5S818,TPOX,TPOX,D8S1179,D8S1179,D12S391,D12S391,D19S433,D19S433,FGA,FGA,D22S1045,D22S1045
Individual,11,19,14,12,15,11,9,17,9,14,8,11,19,13,8,18,23,19,27,14,13,9,10,9.3,10,14,16,26,35,6,11,14,9,8,7,16,16,23,16,15,14.2,29,16.2,16,13
Individual,12,15.2,13,15.3,14,15,11,18,14,9,10,17,14,13,13,11,15,18,25,10,9,14,5,9,5,18,20,37,29,11,8,14,12,8,11,14,9,20.1,21,16.2,11,31.2,26,19,19
Individual,13,12,18,10,14.3,10,13,13,9,12,8,14,14,5,12,13.2,24,20,27,11,13,9,13.4,9.3,7,14,13,35,31.2,8,9,7,12,6,10,11,10,14,18,11,12.2,17.2,25,11,14
Individual,14,17,19,16.3,14,9,9,15,18,8,12,10,18,10,13,19,16,23,16,10,7,14,13.4,8,8,19,15,37,33.1,12,7,9,11,11,7,16,9,19,23,16.2,10,23,16.2,19,17
Individual,15,12,16,14.3,14,14.3,12,10,13,10,12,14,25,13,14,24,16,23,20,12,9,15,13.4,5,5,11,21,30,32.2,11,11,7,8,12,12,11,12,18.1,18,16.2,15,25.2,28,15,8
Individual,16,19,17,12,16,12.3,15,9,16,8,14,20,19,13,12,23,22,18,25,13,13,9,17,6,6,12,20,32.2,37,7,9,12,9,13,11,17,8,17.1,20,13,10,23.2,20,17,13
Individual,17,17,16,10,15.3,11.3,15,8,10,14,9,5,8,13,14,14,12,16,23,11,11,12,3.2,7,9.3,21,15,34,26,13,12,15,8,13,6,16,15,23,19.3,16,12.2,27,20,8,13
Individual,18,14,15,14,13,15,12.3,11,10,13,12,10,15,13,13,20,9,24,21,8,14,7,10,10,9.3,11,16,39,39,7,11,7,8,9,7,18,10,18.1,17,12,15.2,19.2,23.2,13,18
Individual,19,12,15,17,13,12.3,11,8,14,10,10,17,12,13,9,13,24,24,17,13,14,8,10,5,9.3,17,13,30,29.3,14,14,15,15,11,11,9,17,15,20.1,11,12,30.2,27,17,17
Individual,20,16,12,17,17,14.3,9,10,14,11,13,15,11,13,9,12,11,19,25,8,14,10,14,9.3,9,14,18,27,38,14,6,14,11,11,8,17,12,18,19.3,10,16,28,27,11,14
Individual,21,16,15.2,14,17.3,13,15,11,12,8,10,16,14,12,12,14,12,17,23,14,7,12,13,9,5,12,16,34,37,8,6,11,10,8,8,17,10,20.1,20,13,16,26,28,13,15
Individual,22,15.2,19,14.3,15.3,14.3,14,13,11,11,8,18,19,13,9,15.2,12,20,22,12,12,3.2,8,8,6,17,18,37,29.3,8,7,9,7,13,9,8,18,21,18.1,18.2,16,30.2,31.2,18,12
Individual,23,17,16,16,16.3,11.3,12.3,9,10,9,11,11,20,9,8,17,19,15,25,7,12,15,8,9.3,9.3,14,19,37,32,14,14,15,13,12,7,17,14,15,17,12,14.2,19,23.2,8,13
Individual,24,15,12,10,13,12,14,14,13,12,13,8,12,9,14,21,14,20,21,14,10,15,14,7,9,13,20,31.2,39,6,10,7,13,12,6,15,11,17.3,15,14.2,14.2,23.2,30,17,12
Individual,25,15.2,13,10,17,10,14,10,8,9,14,20,12,14,14,13,19,22,19,8,12,13,9,9.3,10,13,13,27,29,12,13,15,14,10,11,15,18,18,22,10,17.2,19.2,21,13,15
Individual,26,13,14,14.3,14.3,12,14,16,16,12,13,14,12,9,8,16,14,23,18,13,8,6,7,9.3,5,15,12,32,28,10,11,14,8,6,11,9,16,18,20,15.2,14.2,27,29,13,10
Individual,27,13,15.2,18.3,12,15,12,17,14,14,13,10,7,9,13,13,21,18,23,8,9,9,5,9.3,10,16,18,38,33,13,13,12,9,11,12,13,15,20,20,17.2,12.2,28,18.2,12,15
Individual,28,14,17,16.3,16,12.3,14.3,18,17,9,10,17,7,8,14,20,21,16,26,10,14,17,7,9,8,16,16,33.1,27,10,6,10,10,11,11,10,10,14,19,10,17.2,20,16.2,14,18
Individual,29,13,14,17,14,11,11.3,18,12,9,11,25,12,10,14,23,24,24,22,14,11,5,12,7,9,14,15,33,36,6,6,15,13,13,10,16,12,15,18.3,14,12.2,30.2,19.2,14,16
Individual,30,15,12,13,15.3,13,14,14,12,12,13,8,18,13,10,24,15.2,27,25,11,9,17,12,9,6,16,19,33.2,35,7,9,14,15,10,10,17,16,25,24,14.2,12.2,19,29,14,17
Individual,31,13,19,18.3,16,13.3,15,14,10,12,11,7,15,12,13,15.2,18,15,22,10,7,12,3.2,5,7,12,19,32.2,34,13,11,7,14,9,6,14,9,20.1,22,18.2,15,22.2,27,17,18
Individual,32,16,18,15,16.3,9,11.3,11,9,14,13,13,12,10,12,16,16,23,22,9,8,10,13.4,9,10,19,18,26,33.2,6,7,15,13,8,11,18,13,19.1,16,13,15,23,30,10,11
Individual,33,15.2,15.2,13,12,15,11.3,14,14,8,9,5,16,12,8,20,18,15,23,9,13,9,6,7,10,19,17,32,31,9,13,10,14,13,10,9,11,20,16,14,10,18,31.2,8,8
Individual,34,16,14,11,10,9,15,9,14,13,11,15,10,14,5,13.2,9,19,24,7,8,17,13.4,7,8,19,15,29,34,13,14,7,10,10,11,16,13,14,25,16,16,30.2,25,16,8
Individual,35,12,15,11,13,11.3,10,14,14,8,13,17,11,14,5,19,11,20,19,14,9,10,14,5,8,18,18,33,29.3,13,12,12,9,12,7,9,13,23,16,13,10,22,31.2,16,13
Individual,36,15.2,12,17,14,11,11,10,14,13,8,8,12,8,13,17,21.2,17,16,11,11,6,12,5,9.3,21,13,31.2,31,11,7,7,11,9,10,18,15,17.3,24,12,13,25.2,19.2,12,19
Individual,37,12,16,18,17,9,11.3,9,17,9,11,18,7,12,12,14,12,26,25,14,11,6,15,7,7,20,17,32.2,29.3,9,10,14,9,6,13,11,14,15,22,15.2,18.2,30,22,17,10
Individual,38,13,19,15,16,11,11,13,17,13,9,19,8,13,10,20,20,27,23,8,12,10,13.4,5,6,19,11,29.3,32.2,6,13,7,7,8,12,13,14,19,19.1,14.2,12.2,28,25,13,15
Individual,39,13,17,14.3,18.3,9,14.3,11,18,11,10,17,13,10,5,17,24,24,21,13,9,6,11,10,7,16,13,30,29.3,11,9,9,9,12,9,16,18,17,18,12.2,16.2,25,22.3,17,13
Individual,40,14,18,18,15.3,14,13,10,15,14,11,5,8,14,10,16,20,24,25,12,14,17,14,7,8,11,12,36,32.2,13,6,8,15,10,13,15,9,23,24,14,15.2,30,28,10,15
Individual,41,12,18,12,16.3,14,10,10,8,14,14,5,16,12,5,21,13.2,25,26,13,8,7,6,9.3,7,14,21,29.3,31.2,13,9,13,11,8,12,12,18,18,23,12.2,12,25,25.2,8,13
Individual,42,12,12,10,15.3,14,9,14,10,13,12,5,7,5,14,23,15,16,19,10,7,2.2,7,9.3,7,16,12,29.3,36,12,13,7,8,11,11,13,10,16,22,16,18.2,16.2,30.2,10,11
Individual,43,13,19,19.3,14,12.3,15,12,16,10,14,20,8,10,5,12,24,21,17,13,14,5,14,8,6,11,21,33,32,10,14,14,11,7,10,9,11,17.3,25,13,12,17.2,20,12,10
Individual,44,15,14,14,14,12,11.3,15,9,8,13,13,19,14,14,20,23,20,20,14,11,3.2,2.2,10,10,18,13,37,30.2,13,12,8,11,9,10,14,17,19.1,17.1,15,17.2,16.2,19,14,19
Individual,45,12,18,14,17.3,13,11,16,11,11,10,20,17,14,13,15.2,15.2,17,18,9,14,9,3.2,9.3,8,14,18,26,31,8,11,9,14,9,13,15,15,22,23,15,14.2,30.2,19,18,18
Individual,46,14,17,15,18,14,13,17,9,12,13,12,8,9,9,22,11,24,22,8,8,6,9,5,5,19,16,28,38,10,9,8,11,11,7,13,17,14,19.3,10,15,22,24,15,17
Individual,47,13,13,18.3,19.3,15,14,10,12,9,8,8,15,14,9,20,13.2,15,26,13,8,14,15,10,5,19,16,31,30,8,12,12,7,9,8,9,10,24,17,13.2,14.2,18,20,15,16
Individual,48,15.2,13,11,16,13,9,12,18,14,14,15,5,10,10,22,16,21,26,8,11,5,14,7,7,18,11,31,31,7,12,15,14,6,7,13,17,20,21,10,15,18,28,17,16
Individual,49,13,16,16.3,12,12.3,15,13,13,9,13,8,13,5,14,21.2,11,22,22,12,8,11,17,10,8,12,15,31,26,7,13,9,11,11,9,11,15,18,22,14,16,18.2,19,12,11
Individual,50,19,12,16,13,12,15,17,11,9,14,20,7,12,9,9,11,24,26,14,9,7,12,5,9,11,17,37,31,8,9,10,11,6,10,17,13,15,19.3,14,12,27,19.2,10,10
Individual,51,15.2,15.2,14.3,15.3,13,13.3,8,18,14,12,17,9,9,8,13.2,23,21,23,12,12,3.2,13.4,9.3,6,15,18,37,29.3,13,14,10,13,6,10,16,14,15,23,12,14,31.2,22.2,11,12
Individual,52,15.2,16,14,16,12.3,14,13,13,12,9,14,7,12,9,9,24,25,27,12,7,8,7,5,8,18,16,33,31.2,13,13,12,8,8,11,18,8,20.1,22,11,12,18.2,19,17,15
Individual,53,17,14,18.3,11,12,13.3,11,11,12,10,13,8,14,9,12,18,20,18,8,13,13.4,11,8,6,19,19,29.3,28,10,12,11,7,12,9,17,18,15,18.3,15,14,17.2,16.2,10,15
Individual,54,13,16,17,18.3,12,11.3,14,8,10,10,5,16,12,5,23,22,22,22,9,11,11,5,8,8,11,21,30,30.2,7,6,9,11,8,6,10,18,18.3,15,12.2,15,23.2,26,14,10
Individual,55,12,15.2,10,10,14.3,9,8,18,9,8,7,18,9,14,13.2,19,23,19,9,12,11,15,7,7,13,17,29,29,11,12,13,14,7,6,15,10,22,18.3,12.2,13.2,31.2,23.2,10,13
Individual,56,16,17,15,14,9,13.3,14,12,11,8,5,17,8,12,21.2,19,19,15,13,7,2.2,14,10,5,20,12,30.2,31.2,9,13,8,12,9,13,12,16,23,21,14,12.2,18.2,28,19,16
Individual,57,18,19,14,18,12.3,13,9,13,12,11,5,25,13,9,12,11,24,21,13,12,7,8,9.3,8,12,15,26,31.2,12,6,15,8,10,8,8,9,25,19.1,12,15,24,20,8,16
Individual,58,16,19,18.3,18.3,13,9,8,16,9,13,25,20,8,8,24,22,19,21,9,7,13,8,6,5,17,17,31.2,31.2,6,13,12,11,6,9,11,12,23,20,15.2,10,25,20,19,8
Individual,59,17,15,12,16.3,9,11,12,17,11,10,20,13,9,10,16,23,23,23,12,10,10,7,8,5,19,17,31,33.2,6,8,8,15,10,11,15,15,24,22,15,16,28,19,14,8
Individual,60,13,19,16.3,15.3,14,14.3,12,11,14,13,9,11,10,5,21,13.2,23,19,10,14,2.2,2.2,8,6,18,16,26,31,6,10,10,9,10,11,14,8,19,18,12.2,11,18.2,19,18,11
Individual,61,13,18,18.3,16,10,15,18,10,8,12,18,7,13,13,19,15.2,25,24,7,11,17,10,7,10,11,11,31,33.1,10,13,9,11,11,9,16,8,19.3,25,14.2,16.2,25.2,22.2,18,18
Individual,62,19,15,13,16,14,9,16,9,12,10,15,25,12,8,14,17,25,17,12,7,10,3.2,10,8,18,14,37,33,12,12,13,10,8,11,18,11,20,19,11,12.2,22,22,10,12
Individual,63,17,13,10,15,14.3,14.3,11,15,8,12,5,7,13,12,22,24,18,27,10,10,13,7,6,10,18,17,31.2,39,14,11,11,12,12,11,13,14,20,17.1,10,11,21,17.2,13,18
Individual,64,18,17,19.3,10,11,15,17,8,11,10,25,13,14,8,24,24,27,23,12,14,12,8,9.3,6,19,18,30,32.2,13,9,13,9,6,7,8,14,25,19.3,12,16,30,16.2,12,14
Individual,65,16,15,17.3,13,13.3,9,13,8,13,12,11,20,10,12,23,19,22,16,12,11,14,3.2,7,9.3,20,11,27,26,14,14,9,7,12,8,11,18,25,22,14.2,15,25,16.2,18,17
Individual,66,14,15.2,14.3,14,12,14,9,9,9,14,9,17,10,10,18,21,18,16,7,11,9,13.4,8,9.3,14,13,39,30,9,13,11,10,11,8,14,17,15,22,10,10,27,21,18,16
Individual,67,15,15,12,19.3,12,9,14,8,11,13,16,13,12,12,22,14,20,26,9,14,11,5,5,8,18,11,29,30,7,7,10,14,8,7,11,9,24,18,12,14,24,22,8,15
Individual,68,15.2,12,10,15.3,9,14.3,13,9,14,14,20,9,10,8,19,21.2,16,21,13,10,3.2,3.2,10,9,21,12,39,31,9,11,9,8,12,13,18,11,22,25,11,13.2,27,28,13,12
Individual,69,15.2,17,13,18.3,9,11,14,10,12,13,18,6,12,9,9,10,15,22,8,9,3.2,11,9,6,13,18,33.2,29,12,13,7,11,10,13,17,16,25,18.1,14.2,15,26,16.2,14,15
Individual,70,19,15.2,17.3,19.3,15,10,14,9,11,10,19,15,8,14,24,21.2,17,23,11,8,11,13,5,9,16,21,30,31,13,14,11,7,7,11,13,16,18.3,19.1,11,14,23.2,21,19,13
Individual,71,15.2,12,19.3,12,12,13.3,10,12,9,14,10,12,13,9,11,11,25,16,11,12,8,13.4,8,9,15,16,31.2,30,13,14,13,13,8,12,15,18,18.1,19,14.2,13.2,16.2,29,13,19
Individual,72,16,15.2,17,14.3,9,15,17,12,9,11,8,18,10,13,15,20,15,22,12,13,14,15,10,6,21,20,33.2,36,8,9,13,11,12,12,10,13,15,20.1,14,15,18.2,29,13,17
Individual,73,17,15,14.3,18,14.3,10,10,9,13,12,20,6,14,12,13.2,21.2,21,19,14,9,14,13.4,6,9.3,21,21,37,37,6,9,8,8,9,13,11,15,22,24,17.2,17.2,22.2,26,14,13
Individual,74,15,15.2,15.3,15.3,9,12.3,13,15,14,9,8,5,12,12,13,15,20,26,11,14,11,2.2,6,6,19,13,27,34,6,14,11,8,12,7,8,15,23,20.1,13,13,22,19.2,16,17
Individual,75,16,13,10,18,10,13.3,10,17,13,12,14,13,9,13,22,13.2,20,23,11,11,9,17,6,8,19,13,31,32,8,11,8,9,13,13,8,10,18.1,20.1,14.2,15.2,25.2,24,15,16
Individual,76,13,17,14,16.3,14,13.3,9,8,8,13,17,15,14,5,11,18,15,23,13,7,6,10,5,9.3,16,12,27,31.2,14,12,12,15,9,7,15,14,18,25,12.2,12,19.2,20,15,13
Individual,77,19,15,17.3,14,15,11.3,14,13,9,11,14,14,14,10,22,24,27,26,8,12,10,12,9.3,9.3,16,16,30.2,27,11,6,7,12,8,7,14,15,21,19,18.2,15,18,31.2,13,11
Individual,78,12,14,13,15.3,12,9,11,12,12,14,17,17,8,12,12,22,22,22,8,13,3.2,5,10,9,12,19,30.2,36,10,13,11,8,12,9,14,16,22,17,13.2,14.2,30,18,8,17
Individual,79,17,12,17,16,12,10,11,10,11,11,10,8,13,10,15,17,22,23,8,13,15,8,10,8,14,17,27,31.2,11,9,15,9,13,6,12,15,18,20.1,15,15,28,18.2,16,11
Individual,80,16,19,19.3,14,13.3,10,13,18,9,12,9,13,14,8,11,15.2,19,24,7,14,17,14,6,6,21,11,33.1,30,13,11,14,9,6,9,13,8,19.1,19,16.2,16,20,19,19,15
Individual,81,15.2,16,11,14,9,14,11,12,14,10,6,18,14,12,24,16,25,23,9,10,12,13.4,9,10,19,18,33,32,13,14,12,8,8,8,9,11,20,20,15,15.2,19.2,21,15,11
Individual,82,17,19,14.3,11,14.3,14.3,8,16,11,13,17,19,14,8,17,13,17,18,7,13,14,7,8,9.3,11,19,30,28,12,13,8,11,9,11,10,13,16,19.3,11,10,25.2,19.2,14,10
Individual,83,13,16,17,17.3,11,12,10,12,13,11,25,11,14,12,15,16,25,16,8,9,13.4,13,8,9.3,21,21,32,32.2,13,10,12,9,9,9,18,11,23,19,13,13,27,22.3,14,19
Individual,84,12,18,15.3,19.3,14.3,14.3,13,12,12,9,9,11,12,8,23,10,16,27,7,13,15,11,8,9,12,18,31.2,33,13,8,9,9,13,11,18,12,14,25,13.2,12.2,30,20,11,15
Individual,85,18,15,11,18.3,9,13,16,14,14,11,18,5,12,14,24,22,22,17,9,8,9,6,5,5,13,19,29.3,27,10,6,7,13,10,10,9,17,14,17.3,14.2,13.2,18.2,19.2,8,10
Individual,86,18,13,16.3,14,14,11.3,17,13,12,8,13,16,8,12,12,21.2,25,15,9,8,9,11,7,9,19,14,32.2,33,6,6,14,13,9,11,8,13,22,18.3,14,14,29,31.2,18,19
Individual,87,15.2,14,11,18.3,12.3,14.3,11,8,14,9,6,9,8,5,16,20,17,21,12,7,3.2,13,5,6,14,19,35,27,11,10,14,9,13,6,17,18,21,14,12,12,24,22.2,18,14
Individual,88,17,12,13,14,11.3,9,9,11,11,11,16,11,9,9,23,11,19,21,14,12,6,3.2,5,7,13,21,33.2,37,9,13,9,11,12,9,14,8,19,22,16.2,11,30,25.2,17,10
Individual,89,19,15.2,14.3,15,15,12.3,10,11,11,14,11,7,8,12,12,20,25,26,7,11,2.2,2.2,6,6,12,17,32.2,30,14,14,10,8,12,9,9,13,19.3,17.1,18.2,12.2,19.2,17.2,17,8
Individual,90,17,17,13,17.3,9,15,16,15,14,10,11,10,5,8,12,18,16,20,12,7,3.2,6,5,8,14,12,30.2,36,14,12,11,8,9,11,15,11,19.1,19.3,10,18.2,29,26,16,12
Individual,91,13,19,17.3,19.3,9,11.3,18,10,8,8,15,11,5,12,24,21.2,20,26,7,9,14,6,8,7,21,11,27,33,12,14,14,14,9,7,12,10,20.1,20,10,14.2,22.3,26,14,8
Individual,92,16,19,15,13,12.3,13.3,11,12,9,8,17,25,13,8,23,23,18,27,10,14,13,17,10,10,15,12,35,30.2,8,12,7,12,6,11,13,18,18.3,14,12.2,12,24,18,19,17
Individual,93,15,15,11,17.3,14.3,14,10,16,10,14,11,16,10,12,15,14,20,25,14,12,8,12,10,9.3,12,21,33,29,9,14,13,14,7,10,18,16,21,18.1,18.2,12.2,23.2,21,11,8
Individual,94,15.2,14,12,16,9,14,13,10,11,14,19,6,13,5,13,9,20,19,14,14,11,14,10,8,13,12,32,29,11,8,9,10,7,9,10,17,18.3,14,18.2,14.2,26,18.2,16,12
Individual,95,18,15,16.3,13,11.3,13,11,14,8,14,25,25,14,13,24,14,17,17,9,11,7,5,5,7,12,17,38,35,12,13,15,15,10,8,8,9,24,19.3,14.2,16,18,28,19,10
Individual,96,19,15.2,14,16.3,14.3,14,18,12,14,8,20,14,5,10,17,13,17,18,14,11,6,6,6,9.3,20,11,29,31.2,6,7,9,10,12,11,12,11,18.1,22,14.2,17.2,24,26,17,8
Individual,97,12,19,17.3,17,14.3,10,13,13,13,9,10,25,13,13,21.2,21,15,16,11,11,14,10,5,7,11,15,29.3,33,8,11,13,7,6,8,11,13,23,17.1,15,15.2,26,25.2,15,8
Individual,98,15.2,12,11,13,15,13.3,12,15,12,12,8,9,14,12,9,23,27,20,7,7,9,15,7,9.3,15,11,28,34,7,8,10,7,12,7,13,9,23,23,11,18.2,18.2,16.2,17,13
Individual,99,18,14,14,15,14.3,12.3,8,10,10,13,18,18,12,9,15,14,21,21,7,7,17,5,10,8,19,19,37,30,6,6,13,10,12,8,9,10,14,15,10,16,30,25,15,12
Individual,100,14,14,14.3,10,10,12,10,9,13,11,14,6,14,14,21.2,13.2,26,27,12,7,2.2,9,10,9,13,14,31,33.1,7,7,15,9,9,6,18,11,18,18,14,15.2,22.2,30,17,14
Individual,101,12,15,18,19.3,14,12.3,16,10,10,11,13,10,12,8,19,15,20,24,9,14,2.2,12,10,10,17,14,33.1,30.2,13,13,8,15,8,13,18,15,24,15,13,13,29,19.2,13,8
Individual,102,17,18,17.3,14.3,12.3,10,14,14,14,9,5,20,8,12,15,11,26,23,14,12,2.2,11,9.3,9,16,15,29.3,33,8,13,14,11,10,10,17,9,18.1,17.3,12.2,13.2,22,31.2,11,19
Individual,103,16,13,14,15,14,10,16,15,11,11,16,16,10,9,12,15.2,18,27,13,11,6,13.4,9,6,13,18,34,28,13,8,7,13,8,6,12,18,19.3,24,16.2,12,22.3,18,12,11
Individual,104,19,18,18,15.3,15,11,8,16,13,8,8,14,13,10,13,22,20,16,10,8,12,9,9.3,9,12,17,38,38,9,13,7,13,6,6,9,12,15,17,14,10,22.2,25.2,13,12
Individual,105,14,17,16,17,13.3,10,13,8,9,13,8,15,5,14,17,18,20,25,13,7,12,8,9.3,5,12,16,28,26,10,6,13,10,8,9,9,12,18,19.3,13,11,20,16.2,17,12
Individual,106,15,16,16.3,15,11.3,11.3,17,12,9,8,14,8,9,8,23,11,22,17,8,10,2.2,14,8,7,18,16,33.1,34,6,13,15,8,8,8,12,13,22,18.1,15.2,16.2,22.2,22.2,12,16
Individual,107,14,15.2,16,19.3,12,15,13,13,14,11,6,5,10,13,12,13.2,18,27,14,12,12,7,7,8,13,16,34,37,11,6,14,9,12,7,11,10,17.1,19,17.2,18.2,24,27,15,17
Individual,108,12,18,12,13,15,13,11,10,10,14,12,14,10,9,14,13,26,16,10,14,5,6,9,8,17,11,28,39,6,6,12,14,9,10,14,18,16,18.3,17.2,18.2,18,25,16,8
Individual,109,13,18,18.3,15.3,15,10,13,14,8,11,14,17,13,12,13.2,9,26,17,14,7,7,14,9.3,9.3,17,21,28,30.2,7,13,12,15,12,12,13,10,15,18.1,12.2,16.2,31.2,25.2,15,18
Individual,110,17,18,15.3,10,14.3,9,18,18,12,10,5,13,13,10,10,15.2,23,22,9,13,12,5,5,6,14,17,31,38,13,14,11,11,7,10,10,14,17,18.1,12,18.2,25.2,28,19,8
Individual,111,15.2,14,15,11,14.3,11,15,11,13,14,25,19,12,9,13.2,16,17,15,11,8,17,7,9,9.3,21,14,35,26,8,6,14,7,12,13,15,18,19.1,23,15,14,18,19.2,18,14
Individual,112,13,15,16.3,10,12,11,8,17,12,10,8,5,8,8,11,17,23,27,12,14,8,12,7,9,15,21,34,33.1,8,10,11,14,6,8,8,11,24,17.1,18.2,11,24,21,15,16
Individual,113,17,13,16,10,14,12.3,10,9,11,12,16,9,10,12,12,13.2,16,17,12,14,11,7,6,9,16,11,38,32,11,6,8,11,8,12,13,8,24,17.3,12,15.2,20,31.2,16,18
Individual,114,16,16,15.3,11,13,9,17,12,12,9,8,12,10,12,9,21,17,16,9,7,13,17,7,7,20,14,39,32,9,10,14,7,8,13,11,17,19,20,13.2,18.2,19.2,22,8,17
Individual,115,15.2,14,12,12,13.3,12,8,16,10,9,25,8,13,10,11,13.2,27,20,13,14,7,6,6,10,11,14,34,31,13,6,10,10,9,9,10,11,19.3,17.1,15.2,15.2,19,31.2,16,15
Individual,116,18,19,10,10,12,10,15,13,14,9,17,9,12,8,10,14,26,18,10,9,2.2,11,7,5,19,16,31,31,13,8,9,13,7,13,13,13,20,19.3,18.2,15,22.3,30,8,15
Individual,117,14,18,16.3,19.3,15,14.3,18,9,11,8,16,18,5,12,16,20,20,20,10,8,11,6,10,6,16,21,30.2,32.2,7,12,8,8,11,7,8,16,18.1,19,13,18.2,21,23.2,19,15
Individual,118,15.2,13,13,17,9,10,15,17,14,13,17,6,5,10,13,10,23,22,13,11,8,8,6,9.3,19,12,37,31,8,8,11,15,13,7,15,16,23,20,17.2,16,28,27,15,19
Individual,119,14,16,18,15,12,14,13,9,14,11,6,19,13,10,13,18,16,26,11,11,17,13,6,8,16,20,39,33,9,9,9,7,10,12,12,13,19.3,20,14.2,12.2,24,23,18,8
Individual,120,17,12,14,12,10,11.3,12,14,14,14,7,9,5,12,14,11,18,23,12,8,11,5,7,9.3,18,21,39,28,12,10,8,12,13,7,14,10,19.1,21,11,18.2,31.2,31.2,15,8
Individual,121,15.2,17,13,14,10,9,16,15,14,12,25,13,13,5,24,21,17,17,8,14,9,15,5,9.3,19,17,29,39,11,11,14,14,11,13,13,10,23,17.3,13.2,14.2,22.3,16.2,14,8
Individual,122,15,17,15.3,14,12.3,12.3,18,10,13,12,8,16,12,10,18,19,15,23,11,14,13,6,9.3,5,15,17,38,29,14,13,12,9,13,8,17,10,18,23,17.2,11,22.3,20,15,17
Individual,123,13,13,15,19.3,14,11,11,18,8,12,25,10,12,14,14,12,17,15,9,14,12,11,10,8,15,17,32.2,29.3,10,14,10,7,7,10,15,11,19,17.3,15.2,11,27,22,18,14
Individual,124,19,12,14.3,12,13.3,13.3,14,11,13,13,8,19,5,10,24,23,20,23,7,12,3.2,13,5,5,20,14,33.1,39,6,9,10,15,11,8,8,12,19.3,18,14,10,24,25.2,17,15
Individual,125,15,16,17,15.3,14,12,16,12,9,13,20,18,14,12,15,21.2,21,23,10,14,11,8,9.3,9.3,16,13,31,32.2,11,12,15,10,11,13,14,11,15,20,15,13,22,17.2,15,10
Individual,126,19,19,15,13,13,12.3,13,10,9,9,12,11,12,13,23,12,19,23,9,9,12,9,6,6,13,21,29,33.1,14,9,14,15,10,6,13,14,24,18.1,10,18.2,22.3,24,15,8
Individual,127,15,15.2,19.3,11,12.3,14.3,12,13,12,9,11,12,12,12,19,23,23,15,10,11,17,11,9,5,20,15,33.2,31,12,9,14,12,8,10,10,13,19.3,19,14,12.2,24,27,19,17
Individual,128,15.2,19,13,14.3,14.3,13,10,14,12,14,14,25,13,12,23,23,20,20,14,8,14,12,10,5,16,14,38,29,7,8,7,10,7,10,17,12,24,18.1,10,14.2,23.2,30,18,13
